COMUNA;TELEFONO;VIVIENDA;PARED;PISO;ENERGIA;ALCANTA;GAS;BASURA;ACUEDUC;ESTRATO;ELIMBASURA;THOGAR;TENEVIV;USOSANI;USANITAR;DUCHA;AGUA;LLEGA;SUMINIS;PREPARAN;COCINA;COCINAN;ALUMBRA;USOTELE;NEVERA;LAVADORA;TVCOLOR;TVCABLE;CALENTA;HORNO;AIRE;COMPUTADOR;MOTO;AUTO1;SEXO;FECHANTO;PARENTES;ESTCIVIL;CONYUVIVE;DISCAPA;CARNET;EMBARAZA;ASISTE;TIPOESTA;GRADO;NIVEL;INGRESOS;PERCIBE;PUNTAJE
1;1;1;2;3;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;2;10/08/1952;1;5;0;0;4;1;2;0;3;1;0;1;28.34
1;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;1;15/06/1931;1;2;2;0;4;2;2;0;5;1;0;2;22.28
1;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;3/11/1937;2;2;1;0;4;1;2;0;5;1;0;2;22.28
1;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;1;2/06/1969;3;5;0;0;4;2;2;0;5;1;0;1;22.28
1;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;24/12/1980;3;5;0;7;4;2;2;0;5;1;0;2;22.28
1;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;1;2/03/1984;3;5;0;0;4;2;1;6;6;2;0;2;22.28
1;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;2;19/04/1956;1;1;2;0;4;1;2;0;3;2;0;1;33.26
1;1;1;2;3;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;1;2;2;2;2;2;2;1;2/03/1964;2;1;1;0;0;2;2;0;5;1;0;1;33.26
1;1;1;2;3;1;1;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;2;1;2;1;1;2;2;2;2;2;2;2;17/08/1941;1;3;0;0;4;1;2;0;4;1;0;1;27.02
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;2;1;2;2;2;2;2;2;2;1;10/06/1983;1;5;0;0;3;2;2;0;3;2;496900;1;50.79
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;30/12/1947;1;3;0;0;2;1;2;0;2;1;600000;1;35.3
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;2;28/04/1968;3;5;0;3;2;2;2;0;0;0;0;2;35.3
1;1;1;1;2;1;1;2;1;1;2;1;1;3;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;2;2;2;2;1;4/04/1987;3;5;0;0;3;2;2;0;6;2;496500;1;35.3
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;2;2;2;1;15/06/1963;1;2;2;0;4;2;2;0;4;2;496900;1;57.64
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;2;2;2;2;31/07/1956;2;2;1;0;4;1;2;0;5;1;496900;1;57.64
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;2;2;2;2;15/08/1985;3;5;0;0;4;2;1;6;6;2;0;2;57.64
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;2;2;2;1;6/09/1990;3;5;0;0;4;2;2;0;3;2;496900;1;57.64
1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;31/10/1962;1;2;2;0;0;2;2;0;3;1;496900;1;45.69
